0,6
1,4
2,11
3,4
4,7
5,12
6,0
7,13
8,6
9,2
10,13
11,11
12,12
13,2
14,0
15,12
16,14
17,10
18,8
19,4
20,13
21,15
22,3
23,14
24,1
24,14
25,15
26,2
27,0
28,8
29,6
30,10
31,14
32,6
33,13
34,8
35,14
36,15
37,11
37,9
38,0
39,4
40,8
41,6
42,2
43,3
43,2
44,9
45,4
45,5
46,11
47,1
48,12
49,10
50,1
51,12
52,13
53,13
54,10
55,12
56,3
57,8
58,4
58,12
59,9
60,2
61,11
62,6
63,11
63,2
64,12
65,0
66,4
67,12
68,11
69,11
70,9
71,1
72,6
73,15
74,13
75,4
76,4
77,3
78,9
79,11
80,8
81,13
82,4
82,11
83,5
84,11
85,10
86,0
86,10
87,8
88,15
89,6
90,10
91,13
92,4
93,4
94,7
95,0
96,11
97,0
97,1
98,4
99,8
100,3
101,9
102,13
103,14
104,4
104,15
105,0
106,11
107,14
108,4
109,15
110,10
111,13
112,6
112,7
113,0
114,3
115,5
116,11
117,5
118,0
119,15
120,5
120,9
121,3
121,14
122,12
122,10
123,10
124,2
125,15
126,5
127,4
128,9
129,15
130,3
131,12
132,9
132,7
133,15
134,15
135,7
135,8
136,12
137,10
138,0
139,6
139,14
140,14
141,11
141,7
142,13
143,1
144,8
145,6
146,2
147,12
148,0
149,5
150,4
151,2
152,11
153,9
154,4
155,2
156,9
156,15
157,14
158,1
158,0
159,6
159,14
160,3
161,15
162,0
163,3
164,1
165,8
166,8
167,12
168,4
169,2
170,8
171,12
172,10
173,13
174,12
175,1
176,9
177,1
177,2
178,3
178,2
179,9
180,7
180,14
181,4
182,0
183,0
184,4
185,3
186,4
187,3
188,10
189,3
190,6
191,15
192,8
193,6
193,2
194,1
195,6
196,11
197,4
198,2
199,15
200,6
201,11
202,2
203,2
204,6
205,12
206,8
207,8
208,2
209,8
210,10
211,14
212,14
213,2
214,11
215,7
215,5
216,15
217,8
218,13
219,15
220,12
221,6
222,7
222,11
223,1
224,11
224,8
225,14
226,0
227,1
228,4
229,15
230,7
231,8
232,14
233,0
234,1
235,13
236,3
237,6
238,11
239,6
240,12
241,4
242,13
243,7
244,0
244,11
245,13
246,5
246,4
247,2
248,14
249,13
250,3
251,2
252,0
253,1
254,0
255,0
256,2
257,13
257,0
258,8
259,14
260,0
261,11
262,7
263,13
264,8
265,11
266,13
267,11
268,7
269,5
269,15
270,13
271,11
272,1
273,2
274,15
275,5
276,0
277,6
277,1
278,1
279,13
280,13
281,2
282,5
283,12
283,5
284,8
284,7
285,8
286,1
287,11
288,14
289,0
290,9
291,9
291,8
292,0
293,15
294,12
295,8
296,1
297,0
298,10
299,2
300,11
301,12
302,11
303,0
303,12
304,8
305,4
306,7
307,10
308,3
309,1
310,5
311,0
312,14
313,13
314,0
315,2
316,6
317,5
318,0
318,8
319,2
320,4
321,1
322,12
323,10
324,2
325,11
326,8
327,9
328,6
329,1
330,1
331,11
332,10
333,0
334,1
335,7
336,0
337,7
338,11
339,13
339,7
340,10
341,8
342,6
343,11
344,2
345,3
346,11
347,10
348,7
348,14
349,10
350,4
351,5
352,3
353,8
353,1
354,8
355,4
356,11
357,11
358,9
358,10
359,11
360,12
361,6
362,10
363,4
364,14
365,3
365,2
366,8
367,10
368,4
369,5
370,12
371,6
372,6
373,0
374,13
375,11
376,13
377,0
378,11
379,15
379,0
380,3
381,14
382,3
383,6
384,13
385,10
386,9
387,0
388,11
389,7
390,7
391,11
392,13
393,5
394,8
395,2
396,4
397,14
398,8
399,4
400,7
401,0
402,13
